FLUKE 289;  V1.16;  32760112 Ammann

To display full timestamps use Format Cells �m/d/y hh:mm:ss.0'

Start Time;Stop Time;Elapsed Time;Interval;Total readings;Intervals;Input Events;Session Name
25.08.2020 20:03:28;25.08.2020 20:13:26;0:09:58;0:00:01;606;599;14;Circuit 1
Max Time;Max;Average;Min;Min Time;Scaling;
25.08.2020 20:03:40;5,4262 A AC;3,8067 A AC;0,0000 A AC;25.08.2020 20:03:28;(none)

Reading;Sample;Start Time;Duration;Max Time;Max;Average;Min Time;Min;Description;Stop Time
73;5,3150 A AC;25.08.2020 20:04:36,8;0:00:01,0;25.08.2020 20:04:37,7;5,3338 A AC;5,3172 A AC;25.08.2020 20:04:37,3;5,3134 A AC;Interval;25.08.2020 20:04:37,8
74;5,3382 A AC;25.08.2020 20:04:37,8;0:00:01,0;25.08.2020 20:04:38,3;5,3487 A AC;5,3444 A AC;25.08.2020 20:04:38,8;5,3359 A AC;Interval;25.08.2020 20:04:38,9
75;5,3346 A AC;25.08.2020 20:04:38,9;0:00:01,0;25.08.2020 20:04:38,9;5,3346 A AC;5,3339 A AC;25.08.2020 20:04:39,8;5,3328 A AC;Interval;25.08.2020 20:04:39,9
76;5,3330 A AC;25.08.2020 20:04:39,9;0:00:01,0;25.08.2020 20:04:40,0;5,3332 A AC;5,3329 A AC;25.08.2020 20:04:40,8;5,3326 A AC;Interval;25.08.2020 20:04:40,9
77;5,3322 A AC;25.08.2020 20:04:40,9;0:00:01,0;25.08.2020 20:04:41,7;5,3324 A AC;5,3320 A AC;25.08.2020 20:04:41,2;5,3313 A AC;Interval;25.08.2020 20:04:41,9
78;5,3329 A AC;25.08.2020 20:04:41,9;0:00:01,0;25.08.2020 20:04:42,6;5,3351 A AC;5,3341 A AC;25.08.2020 20:04:41,9;5,3329 A AC;Interval;25.08.2020 20:04:42,9
79;5,3341 A AC;25.08.2020 20:04:42,9;0:00:01,0;25.08.2020 20:04:42,9;5,3341 A AC;5,3339 A AC;25.08.2020 20:04:43,7;5,3337 A AC;Interval;25.08.2020 20:04:43,9
80;5,3337 A AC;25.08.2020 20:04:43,9;0:00:01,0;25.08.2020 20:04:44,8;5,3342 A AC;5,3339 A AC;25.08.2020 20:04:43,9;5,3337 A AC;Interval;25.08.2020 20:04:44,9
81;5,3342 A AC;25.08.2020 20:04:44,9;0:00:01,0;25.08.2020 20:04:45,8;5,3347 A AC;5,3345 A AC;25.08.2020 20:04:44,9;5,3342 A AC;Interval;25.08.2020 20:04:45,9
82;5,3347 A AC;25.08.2020 20:04:45,9;0:00:01,0;25.08.2020 20:04:45,9;5,3347 A AC;5,3346 A AC;25.08.2020 20:04:46,7;5,3345 A AC;Interval;25.08.2020 20:04:46,9
83;5,3345 A AC;25.08.2020 20:04:46,9;0:00:01,0;25.08.2020 20:04:47,3;5,3347 A AC;5,3346 A AC;25.08.2020 20:04:47,8;5,3344 A AC;Interval;25.08.2020 20:04:47,9
84;5,3343 A AC;25.08.2020 20:04:47,9;0:00:00,9;25.08.2020 20:04:47,9;5,3343 A AC;5,3331 A AC;25.08.2020 20:04:48,1;5,3321 A AC;Interval;25.08.2020 20:04:48,8
85;5,3330 A AC;25.08.2020 20:04:48,8;0:00:01,0;25.08.2020 20:04:48,8;5,3330 A AC;5,3327 A AC;25.08.2020 20:04:49,0;5,3322 A AC;Interval;25.08.2020 20:04:49,8
